STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,,REF_AREA,,SECTOR,,COUNTERPART_SECTOR,,ACCOUNTING_ENTRY,,TRANSACTION,,INSTR_ASSET,,EXPENDITURE,,UNIT_MEASURE,,VALUATION,,PRICE_BASE,,TRANSFORMATION,,TABLE_IDENTIFIER,,TIME_PERIOD,,OBS_VALUE,,COUNTERPART_AREA,,CONSOLIDATION,,REF_YEAR_PRICE,,CONF_STATUS,,DECIMALS,,OBS_STATUS,,UNIT_MULT,,CURRENCY,
DATAFLOW,OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),,I,A,,ROU,,S13,,_Z,,D,,OTE,,_Z,,GF09,,XDC,,S,,V,,N,,T1100,,2019,,37754,,_Z,,P,,,,F,,2,,A,,6,,RON,
DATAFLOW,OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),,I,A,,USA,,S13,,_Z,,D,,OTE,,_Z,,GF10,,XDC,,S,,V,,N,,T1100,,2019,,1628795.931,,_Z,,P,,,,F,,2,,A,,6,,USD,
DATAFLOW,OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),,I,A,,USA,,S13,,_Z,,D,,OTE,,_Z,,GF07,,XDC,,S,,V,,N,,T1100,,2019,,2049103.632,,_Z,,P,,,,F,,2,,A,,6,,USD,
DATAFLOW,OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),,I,A,,USA,,S13,,_Z,,D,,OTE,,_Z,,GF04,,XDC,,S,,V,,N,,T1100,,2019,,739957.371,,_Z,,P,,,,F,,2,,A,,6,,USD,
DATAFLOW,OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),,I,A,,USA,,S13,,_Z,,D,,OTE,,_Z,,_T,,XDC,,S,,V,,N,,T1100,,2019,,8237124.686,,_Z,,P,,,,F,,2,,A,,6,,USD,
DATAFLOW,OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),,I,A,,USA,,S13,,_Z,,D,,OTE,,_Z,,GF09,,XDC,,S,,V,,N,,T1100,,2019,,1261931.824,,_Z,,P,,,,F,,2,,A,,6,,USD,
DATAFLOW,OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),,I,A,,SVN,,S13,,_Z,,D,,OTE,,_Z,,GF10,,XDC,,S,,V,,N,,T1100,,2019,,8040.09,,_Z,,P,,,,F,,2,,A,,6,,EUR,
DATAFLOW,OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),,I,A,,SVN,,S13,,_Z,,D,,OTE,,_Z,,_T,,XDC,,S,,V,,N,,T1100,,2019,,21084.02,,_Z,,P,,,,F,,2,,A,,6,,EUR,
DATAFLOW,OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),,I,A,,EU27_2020,,S13,,_Z,,D,,OTE,,_Z,,GF09,,XDC,,S,,V,,N,,T1100,,2019,,656776.62,,_Z,,P,,,,F,,2,,P,,6,,EUR,
DATAFLOW,OECD.SDD.NAD:DSD_NASEC10@DF_TABLE11(1.1),,I,A,,EU27_2020,,S13,,_Z,,D,,OTE,,_Z,,GF10,,XDC,,S,,V,,N,,T1100,,2019,,2712980.97,,_Z,,P,,,,F,,2,,P,,6,,EUR,
